"name","daily","weekly","monthly","yearly","1_year","3_year"
"Apple","-1.38","-1.3","-6.2","-5.12","38.24","172.49"
"Microsoft","0.24","-0.88","-5.58","11.12","16.98","154.2"
"Amazon.com","-1.19","-0.01","-3.73","-0.93","15.3","104.38"
"Alphabet A","-0.23","1.36","0.35","32.67","42.27","116.4"
"Alphabet C","-1.08","0.99","0.83","34.5","44.15","119.01"
"Facebook","-0.32","0.63","5.57","16.5","18.14","73.04"
"Alibaba ADR","-2.34","1.35","-8.5","-8.86","-7.42","9.48"
"Tencent ADR","-1.04","0.49","-6.33","6.84","18.49","48.35"
"Berkshire Hathaway B","-0.23","-1.9","6.77","24.41","44.32","51.02"
"Tesla","-0.94","-1.28","-20.02","-17.34","213.3","963.2"
"Taiwan Semiconductor","-0.59","-0.22","-5.23","3.46","94.88","187.08"
"JPMorgan","1.13","0.04","9.03","28.73","59.48","48.17"
"J&J","0.68","1","5.26","9.86","4.08","42.03"
"Visa A","1.68","0.58","-1.03","4.29","4.58","76.72"
"Walmart","-0.14","1.85","1.76","-1.15","-0.46","73.77"
"UnitedHealth","-0.1","0.87","3.79","18.18","25.43","71.66"
"Louis Vuitton","1.51","2.33","3.83","22.55","74.72","123.25"
"NVIDIA","2.92","5.3","-0.91","15.62","45.88","147.01"
"Mastercard","0.24","2.03","-4.49","4.07","9.72","95.85"
"Bank of America","1.8","0.67","9.08","40.97","64.35","42.8"
"Nestlé","0","-1.29","1.61","3.96","2.25","66.9"
"Samsung Electronics DRC","0","0","-3.79","-2.16","50.54","49.73"
"Home Depot","0.29","-1.54","-1.54","19.04","14.61","72.93"
"Roche Holding Participation","3.59","5.61","4.91","0.84","-12.06","58.23"
"Walt Disney","1.21","-0.4","-5.38","-4.68","28.4","70.51"
"PayPal Holdings Inc","0.5","2.19","-5.49","7.97","46.56","216.14"
"ASML Holding","0.61","-2.93","-2.34","31.33","77.21","224.67"
"Comcast","0","-4.77","1.58","6.1","23.69","75.24"
"Exxon Mobil","0.47","-2.74","5.6","42.34","17","-27.37"
"L'Oréal","0","2.52","7.05","12.27","30.53","79.3"
"Verizon","0.62","-2.69","-1.56","-2.65","-9.11","17.82"
"Coca-Cola","0.15","-0.1","0.64","-0.09","5.94","29.52"
"Unilever ADR","0.74","0.74","5.5","0.84","4.26","10.55"
"Adobe","-0.05","0.98","-4.87","-1.26","11.3","105.18"
"JD.com Inc Adr","-2.52","3.92","-5.99","-18.23","30.69","99.03"
"Oracle","-0.33","1.38","6.65","23.48","32.04","72.17"
"Intel","0.31","1.12","-4.99","12.64","-20.19","3.92"
"Cisco","-0.65","-0.43","1.56","18.44","2.36","22.82"
"Netflix","-0.1","2.19","-0.83","-7.41","1.98","47.6"
"AT&T","1.05","-6.88","-4.49","4.56","-12.35","-5.77"
"Nike","-0.07","-1.67","2.89","-5.61","24.33","90.6"
"Abbott Labs","0.53","-0.08","-4.5","7.49","13.45","93.75"
"Salesforce.com","1.54","2.85","-4.01","0.84","9.87","79.09"
"AbbVie","0","0.56","5.57","9.58","10.96","13.25"
"PepsiCo","0.13","0.27","0.44","0.32","-1.71","49.51"
"Chevron","1.74","-3.7","3.92","22.9","3.12","-16.68"
"Merck&Co","-0.42","1.49","2.31","-1.56","-9.03","34.47"
"Novartis ADR","0","0.19","0.36","-3.02","-9.05","20.23"
"Eli Lilly","1.01","2.33","7.21","20.23","15.14","157.9"
"Wells Fargo&Co","0.94","-1.71","4.73","52.92","66.82","-15.9"
"Accenture","-1.31","-1.31","-0.77","9.56","29.4","86.75"
"BHP Billiton Ltd ADR","0","0","0","10.16","48.13","44.2"
"Novo Nordisk ADR","3.1","7.34","12.48","17.51","12.87","72.33"
"United Parcel Service","1.76","1.68","20.55","30.75","97.92","96.12"
"Broadcom","0","7.15","-1.48","6.25","40.19","88.07"
"Thermo Fisher Scientific","0.09","1.34","-3.74","0.82","12.23","114.74"
"Danaher","0","-0.65","0.1","13.12","29.78","149.5"
"McDonald’s","-0.08","-0.1","-0.86","10.01","8.59","45.95"
"Medtronic","0","0","7.04","13.83","11.37","55.23"
"Texas Instruments","0","0.2","-3.16","13.72","41","69.59"
"Costco","-0.54","-0.46","2.37","1.95","10","94.67"
"SAP ADR","8.83","1.08","-2.09","7.42","1.37","25.37"
"Morgan Stanley","2.44","1.8","10.16","30.38","94.83","62.04"
"Citigroup","2","2.09","8.98","26.19","54.58","13.09"
"Royal Dutch Shell ADR","0.51","-1.49","5.32","10.58","6.31","-42.94"
"Royal Dutch Shell B ADR","0","-1.51","2.82","10.07","8.79","-48.77"
"Honeywell","1.14","-0.03","0.08","5.94","41.43","48.95"
"Shopify Inc","2.98","14.52","13.58","10.35","32.46","798.21"
"AstraZeneca ADR","0.61","4.27","9.28","15.58","-8.61","61.09"
"China Life Insurance ADR","0","0","1.03","-7.51","-13.56","-23.75"
"Bristol-Myers Squibb","1.41","4.62","3.05","9.15","-2.75","31.25"
"Anheuser Busch Inbev","-0.5","-0.86","11.31","4.67","52.14","-20.28"
"Qualcomm","-0.17","1.82","-2.08","-12.75","46.49","129.93"
"Fomento Economico Mexicano UBD","-2.35","0.76","2.87","9.87","10.38","-0.56"
"Union Pacific","0.05","-2.29","0.4","8.56","22.42","62.39"
"Amgen","0","0","-0.59","11.87","-6.28","45"
"The Charles Schwab","1.76","-0.75","13.33","53.72","82.59","25.66"
"Rio Tinto ADR","-1.44","-1.4","0","14.33","40.34","51.34"
"Boeing","3.73","3.82","-0.25","10.46","48.64","-32.97"
"Sanofi ADR","0","0","0.19","8.43","-3.25","36.41"
"PetroChina ADR","0","0.36","12.99","35.96","1.27","-48.24"
"Volkswagen VZO","0","0","-14.37","35.13","47.72","26.89"
"China Mobile ADR","0","0","0","-2.5","-32.21","-39.87"
"BlackRock","1.99","0.85","6.64","21.78","44.15","62.53"
"Starbucks","-0.18","0.09","-6.23","3.95","23.52","95.32"
"Raytheon Technologies","1.6","2.43","9.36","20.63","27.19","7.12"
"Caterpillar","1.9","-1.88","4.23","33.84","87.09","54.4"
"IBM","0.62","0.36","1.65","15.51","6.88","1.58"
"HSBC ADR","0","0","7.65","21.73","7.65","-36.25"
"American Express","2.77","0.43","8.08","31.75","54.26","56.87"
"Total ADR","0","-0.43","4","6.69","9.22","-22.26"
"Goldman Sachs","0.97","-0.65","8.18","40.48","79.62","56.89"
"Inditex","6.87","6.87","17.71","25.24","31.43","27.41"
"Intuit","0","0.03","4.73","10.59","37.09","167.37"
"CVS Health Corp","0.9","6.94","19.13","31.68","22.39","38.52"
"3M","0.54","0.93","0.76","16.43","21.22","3.84"
"General Electric","1.54","0.06","-1.86","22.79","80.82","-4.42"
"Target","2.26","7.97","10.67","30.52","68.53","222.87"
"Diageo ADR","0","1.63","5.28","17.1","21.8","29.78"
"Kering","0","0","10.02","16.02","53.56","53.19"
"Coca Cola Femsa UB","-0.66","1.01","0.59","-2.28","-17.1","-18.15"
"Estee Lauder","0","0.63","-3.71","13.05","45.72","102.66"
"Lockheed Martin","0.31","-0.3","3.5","9.71","-8.23","22.44"
"Vale ADR","-3.09","-2.39","4.8","22.53","93.36","44.68"
"Enel","0","0","-1.71","4.7","27.77","70.34"
"Deutsche Tel.","0","10.23","10.23","15.46","23.18","33.58"
"Daimler","0","0","0","21.27","126.26","6.38"
"Anthem","1.38","5.15","31.28","29.45","22.84","70.49"
"GlaxoSmithKline ADR","0","0","6.76","6.32","-16.86","-3"
"Nippon Telegraph & Telephone Corp","0","0","0","-43.44","-43.44","-39.39"
"Stryker","0","0","-2.23","3.66","16.6","44.61"
"Booking","4.17","-1","-3.47","8.47","26.16","13.68"
"AMD","-0.72","4.29","-5.84","-15.2","24.57","506.56"
"Fidelity National Info","1","0.5","-1.09","6.93","-2.83","59.4"
"Altria","0","-0.99","4.21","23.75","15.65","-9.51"
"Uber Tech","-0.39","5.12","-11.83","-3.25","24.92",
"S&P Global","1.25","-0.15","-0.9","16.38","2.17","101.24"
"Micron","-0.26","1.53","-5.67","7.74","57.29","37.73"
"Cigna","0","-1.15","2.97","27.43","14.7","47.99"
"U.S. Bancorp","0","-3.3","4.92","33.36","64.3","19.19"
"Mondelez","1.94","1.75","7.73","10.39","7.32","68.65"
"Xiaomi","1.85","-0.66","-14.16","-48.38",,
"BP ADR","0.76","-0.14","8.85","25.95","1.34","-42.5"
"Prologis","0","2.35","3.92","18.35","17.36","86.05"
"Gilead","0.58","1.03","6.77","21.97","-16.5","4.44"
"Iberdrola","-4.29","-1.19","-6.6","-8.04","14.2","72.4"
"BNP Paribas","0","0","7.24","25.61","83.75","-10.03"
"Airbnb","-1.65","-4.16","-22.78",,,
"Coca Cola Femsa L","-0.24","0.99","-0.8","7.18","7.2","-14.56"
"China Petrol & Chemical ADR","0","0.58","3.76","16.06","2.75","-46.65"
"FedEx","2.13","0.89","12.36","21.05","132.88","26.91"
"General Motors","2.42","2.53","-0.35","36.91","93.36","54.34"
"TJX","-2.81","-6.43","-4.19","0.86","7.91","-14.83"
"Bank of Nova Scotia","0","5.94","5.94","23.84","51.99","6.65"
"NetEase","12.18","18.16","15.04","26.14","-72.08","-50.39"
"Fiserv","0.36","0.32","-8.66","0.59","-4.37","71.12"
"ConocoPhillips","1.22","0.99","13.45","40.07","10.02","-17.65"
"Sherwin-Williams","0.31","-0.39","4.27","-61.04","-58.12","-23.75"
"Cognizant A","0","0","0","4.42","12.73","0.98"
"Activision Blizzard","-0.68","3.31","3.59","3.16","14.54","36.53"
"Mitsubishi UFJ Financial ADR","0","0.96","-5.34","24.85","26.14","-8.62"
"Illinois Tool Works","0","0","0","2.36","44.16","38.77"
"Capital One Financial","1.7","3.25","20.53","87.7","103.72","81.44"
"Adidas","0","5","9.45","-1.2","30.54","63.89"
"Santander","-1.91","2.67","16.38","31.04","57.95","-34.89"
"Nintendo","0","2.39","-6.77","-13.85","12.62","40.67"
"MercadoLibre","0.05","3.47","-14.1","-18.58","43.11","368.52"
"ABB ADR","0","0","1.86","55.06","55.06","37.86"
"VMware","0","0","3.28","16.17","3.71","18.14"
"Bayer","0","-0.66","2.84","15.37","-10.43","-38.43"
"Stellantis NV","0","0","2.43","13.93","120.51","-9"
"Axa","0","-5.3","-3.41","9.17","37.01","2.16"
"Reckitt Benckiser","0","2.36","1.57","-15.43","-8.86","15.75"
"Moderna","-2.25","0.42","-6.67","56.08","105.26",
"Atlas Copco A","0","-4.85","-7.64","15.65","41.33","97.3"
"Vinci","0","0","2.29","8.54","15.82","16.98"
"ICE","0","0","-2.13","11.69","1.26","63.89"
"Petroleo Brasileiro Petrobras ADR","0.27","-2.09","11.44","-16.14","17.09","-37.67"
