"name","symbol","close","var","capmarket","vol"
"Apple","AAPL","2.49K","-1.86%","41.65T","18.72K"
"Microsoft","MSFT","4.84K","-1.81%","36.52T","10.85K"
"Amazon.com","AMZN","64.65K","1.09%","32.61T","1.05K"
"Alphabet A","GOOGL","45.25K","0.21%","30.77T","331.00"
"Alphabet C","GOOG","45.86K","-0.22%","30.77T","197.00"
"Facebook","FB","6.24K","-0.62%","17.69T","6.15K"
"Alibaba ADR","BABAN","4.17K","0.03%","15.72T","25.33K"
"Tencent ADR","TCEHYN","1.57K","3.78%","14.67T","3.75K"
"Berkshire Hathaway B","BRKB","5.73K","-2.37%","13.12T","805.00"
"Tesla","TSLA","11.36K","-2.89%","10.99T","45.00K"
"Taiwan Semiconductor","TSMN","2.17K","-3.47%","10.01T","2.38K"
"JPMorgan","JPM","3.26K","0.14%","9.86T","1.27K"
"J&J","JNJ","3.38K","-0.12%","8.88T","922.00"
"Visa A","V","4.49K","-0.36%","8.87T","3.01K"
"Walmart","WMT","2.75K","-0.74%","7.73T","267.00"
"UnitedHealth","UNH","8.09K","-0.62%","7.63T","496.00"
"Louis Vuitton","MCN","15.21K","0.00%","7.56T","0.00"
"Bank of America","BAC","847.52","-0.24%","7.24T","4.63K"
"Mastercard","MA","7.18K","-0.51%","7.12T","787.00"
"NVIDIA","NVDA","11.16K","-1.50%","6.97T","2.56K"
"Samsung Electronics DRC","SMSNN","35.28K","0.00%","6.81T","0.00"
"Home Depot","HD","6.34K","-0.96%","6.81T","1.39K"
"Nestlé","NESNN","2.46K","0.00%","6.76T","0.00"
"Roche Holding Participation","ROGN","6.66K","0.00%","6.16T","0.00"
"Walt Disney","DIS","3.37K","-2.45%","6.11T","8.82K"
"PayPal Holdings Inc","PYPL","4.81K","-1.88%","5.68T","4.04K"
"Exxon Mobil","XOM","1.23K","2.24%","5.21T","420.00"
"ASML Holding","ASMLN","13.18K","0.00%","5.19T","0.00"
"Comcast","CMCSA","1.10K","-4.67%","5.04T","10.09K"
"L'Oréal","ORN","8.44K","0.00%","4.78T","0.00"
"Verizon","VZ","1.16K","-0.72%","4.74T","373.00"
"Coca-Cola","KO","1.08K","-0.84%","4.66T","502.00"
"Unilever ADR","ULN","1.20K","0.00%","4.65T","0.00"
"JD.com Inc Adr","JDN","1.35K","-1.89%","4.62T","4.26K"
"Adobe","ADBE","9.45K","-2.12%","4.56T","147.00"
"Oracle","ORCL","1.58K","1.22%","4.51T","472.00"
"AT&T","T","620.73","-3.13%","4.43T","12.86K"
"Cisco","CSCO","1.05K","-0.14%","4.42T","52.00"
"Intel","INTC","1.09K","-1.58%","4.42T","3.36K"
"Netflix","NFLX","9.65K","-0.97%","4.29T","881.00"
"Nike","NKE","2.70K","-0.17%","4.26T","2.93K"
"Chevron","CVX","2.20K","1.01%","4.22T","452.00"
"Abbott Labs","ABT","2.36K","0.00%","4.10T","0.00"
"AbbVie","ABBV","2.32K","-0.13%","4.08T","61.00"
"Merck&Co","MRK","1.58K","1.39%","4.00T","3.06K"
"PepsiCo","PEP","2.93K","0.00%","3.99T","0.00"
"Novartis ADR","NVSN","1.75K","0.00%","3.94T","0.00"
"Wells Fargo&Co","WFC","948.45","1.60%","3.92T","7.35K"
"Salesforce.com","CRM","4.26K","-1.04%","3.92T","475.00"
"BHP Billiton Ltd ADR","BHPN","1.44K","0.00%","3.85T","0.00"
"Accenture","ACNN","5.74K","0.00%","3.78T","0.00"
"United Parcel Service","UPS","4.22K","-0.60%","3.72T","6.00"
"Eli Lilly","LLY","3.85K","-1.63%","3.71T","24.00"
"Novo Nordisk ADR","NVON","1.59K","4.64%","3.62T","1.02K"
"Broadcom","AVGO","8.48K","0.00%","3.55T","0.00"
"Danaher","DHR","4.97K","-2.43%","3.54T","950.00"
"Thermo Fisher Scientific","TMO","9.15K","0.00%","3.52T","0.00"
"McDonald’s","MCD","4.62K","0.00%","3.42T","0.00"
"Costco","COST","7.60K","-0.22%","3.36T","1.04K"
"Medtronic","MDTN","2.63K","0.00%","3.35T","0.00"
"Texas Instruments","TXN","3.57K","-2.74%","3.30T","51.00"
"SAP ADR","SAPN","2.76K","0.00%","3.25T","0.00"
"Morgan Stanley","MS","1.73K","0.24%","3.24T","3.46K"
"Citigroup","C","1.52K","0.44%","3.20T","1.77K"
"Royal Dutch Shell ADR","RDSA","804.55","0.07%","3.14T","803.00"
"Royal Dutch Shell B ADR","RDSB","765.50","0.72%","3.14T","518.00"
"Honeywell","HON","4.47K","-0.07%","3.11T","912.00"
"China Life Insurance ADR","LFCN","202.82","0.00%","3.00T","0.00"
"Union Pacific","UNP","4.44K","-1.94%","2.95T","3.10K"
"Anheuser Busch Inbev","ANB","1.50K","0.00%","2.94T","0.00"
"Fomento Economico Mexicano UBD","FEMSAUBD","162.62","-0.88%","2.91T","1.97M"
"AstraZeneca ADR","AZNN","1.10K","0.18%","2.90T","5.35K"
"Qualcomm","QCOM","2.56K","-1.82%","2.90T","412.00"
"Bristol-Myers Squibb","BMY","1.27K","-1.43%","2.89T","12.00"
"Amgen","AMGN","5.09K","0.00%","2.87T","0.00"
"Rio Tinto ADR","RION","1.74K","0.00%","2.84T","0.00"
"The Charles Schwab","SCHW","1.45K","-0.73%","2.84T","1.45K"
